Name;Duration;Total Conf;Newly Calculated;Efficiency total Conf;Efficiency Newly Calculated Conf 
model00001.xml;52.007;0.141;399;399;7.672044147903168;7.672044147903168
model00002.xml;2192.324;4.587;4560;4560;2.0799845278343896;2.0799845278343896
model00003.xml;2284.354;44.168;4563;4563;1.997501262939107;1.997501262939107
model00004.xml;2114.362;41.864;4568;4519;2.1604625887147044;2.137287749212292
model00005.xml;496.051;47.325;4539;1092;9.15026882316536;2.2013865509796373
model00006.xml;2200.329;39.149;4542;4542;2.064236757321291;2.064236757321291
model00007.xml;28802.291;41.776;8159;8159;0.2832760768926333;0.2832760768926333
model00008.xml;3018.468;83.88;4975;4975;1.6481870935852228;1.6481870935852228
model00009.xml;3760.601;50.319;6392;6392;1.6997283147028892;1.6997283147028892
model00010.xml;3752.656;65.207;6245;6245;1.664154668053773;1.664154668053773
Total;49092.644;0.0;45446;0;0.9257191362518589;0.0
