Name,Duration,Total Conf,Newly Calculated,Efficiency total Conf,Efficiency Newly Calculated Conf ,
model00001.xml,0.166,52.007,52.1730,399,399,7.6476
model00002.xml,8.236,2263.337,2271.5730,4560,4560,2.0074
model00003.xml,53.563,2285.348,2338.9110,4563,4563,1.9509
model00004.xml,56.66,2189.347,2246.0070,4568,4519,2.0338
model00005.xml,57.809,493.074,550.8830,4539,1092,8.2395
model00006.xml,53.675,2245.434,2299.1090,4542,4542,1.9755
model00007.xml,55.3,28807.572,28862.8720,7543,7644,0.2613
model00008.xml,81.372,3030.437,3111.8090,4975,4975,1.5987
model00009.xml,56.82,3789.63,3846.4500,6392,6392,1.6618
model00010.xml,68.98,3562.612,3631.5920,6245,6245,1.7196
Total,423.6010,45156.1860,45579.7870,42081.0000,38686.0000,27.3767
