Version;Runtime pre Analysis in s;Runtime IncLing in s; Runtime total; Configurations; Newly Calculated Configurations; Efficiency
model0001.xml;0.178;36.005;36.183;239;239;6.605311886797668
model0002.xml;5.035;26.004;31.039;164;164;5.283675376139695
model0003.xml;3.615;24.002;27.616999999999997;133;133;4.815874280334577
model0004.xml;2.779;28.003;30.782;188;188;6.107465401858229
model0005.xml;4.083;22.003;26.086;148;148;5.673541363183317
model0006.xml;3.156;20.002;23.157999999999998;121;121;5.224976250107955
model0007.xml;2.427;24.022;26.448999999999998;172;165;6.503081401943363
model0008.xml;3.432;22.003;25.435;155;155;6.093965008846078
model0009.xml;3.024;26.003;29.027;190;190;6.545629930754125
model0010.xml;3.782;20.003;23.785;139;139;5.844019339920118
