Chvatal,ICPL ,Random,Incling,Preservative,Chvatal,ICPL ,Random,Incling,Preservative,Chvatal,ICPL ,Random,Incling,Preservative,Chvatal,ICPL ,Random,Incling,Preservative
0.036,0.036,0.036,0.036,0.035,16.440,0.414,0.081,0.580,0.583,34.959,9.196,0.064,0.867,0.893,481.667,481.667,0.408,481.620,480.296
0.037,0.036,0.036,0.036,0.035,19.233,0.445,0.056,0.433,0.529,96.039,34.658,0.289,37.176,37.466,481.667,481.667,0.092,482.989,483.639
0.036,0.036,0.037,0.036,0.035,28.094,0.445,0.051,0.367,0.439,82.896,30.808,0.267,38.340,38.514,481.667,481.667,0.079,483.113,482.019
0.036,0.036,0.036,0.036,0.069,28.328,0.434,0.058,0.467,0.511,80.766,30.860,0.278,38.029,36.566,481.667,481.667,0.080,482.963,482.013
0.036,0.037,0.036,0.036,0.038,28.821,0.471,0.052,0.373,0.473,85.368,31.063,0.281,38.256,9.206,,,,,
0.037,0.036,0.036,0.036,0.071,29.302,0.479,0.049,0.340,0.405,94.872,30.084,0.290,37.845,37.832,,,,,
0.037,0.036,0.038,0.036,0.108,27.982,0.424,0.054,0.373,0.446,127.046,49.251,0.322,480.038,480.882,,,,,
0.036,0.037,0.036,0.036,0.147,27.575,0.410,0.053,0.367,0.424,110.781,43.143,0.331,51.181,52.552,,,,,
0.036,0.036,0.036,0.036,0.151,28.076,0.426,0.057,0.427,0.488,139.581,52.281,0.407,63.972,64.396,,,,,
,,,,,28.374,0.413,0.050,0.340,0.404,139.326,51.823,0.417,60.388,61.141,,,,,
