From to Version,ROIC,MSOC,FIMDC
model to model,0,0.5059,0.5231
model to model,0,0.8711,0.8788
model to model,0,0.8698,0.8719
,,,
model to model,0,0.5059,0.5231
model to model,0,0.8711,0.8788
model to model,0,0.8698,0.8719
,,,
model to model,0,0.5059,0.5231
model to model,0,0.8711,0.8788
model to model,0,0.8698,0.8719
,,,
model to model,0,0.5059,0.5231
model to model,0,0.8711,0.8788
model to model,0,0.8698,0.8719
,,,
model to model,0,0.5059,0.5231
model to model,0,0.8711,0.8788
model to model,0,0.8698,0.8719
