From to Version,ROIC,MSOC,FIMDC
model to model,0,0.5149763571,0.5325324452
model to model,0,0.897850675,0.905894146
model to model,0,0.911595976,0.9138100473
,,,
model to model,0,0.5149763571,0.5325324452
model to model,0,0.897850675,0.905894146
model to model,0,0.911595976,0.9138100473
,,,
model to model,0,0.5149763571,0.5325324452
model to model,0,0.897850675,0.905894146
model to model,0,0.911595976,0.9138100473
,,,
model to model,0,0.5149763571,0.5325324452
model to model,0,0.897850675,0.905894146
model to model,0,0.911595976,0.9138100473
,,,
model to model,0,0.5149763571,0.5325324452
model to model,0,0.897850675,0.905894146
model to model,0,0.911595976,0.9138100473
