From to Version,ROIC,MSOC,FIMDC
model to model,0,0.4642181063,0.4808133437
model to model,0,0.8292155172,0.8372211207
model to model,0,0.8393136271,0.841504642
,,,
model to model,0,0.464377403,0.4810114508
model to model,0,0.828975431,0.8368017241
model to model,0,0.8391625227,0.8412963398
,,,
model to model,0,0.4644169858,0.4809826809
model to model,0,0.8292202586,0.837124569
model to model,0,0.8391048981,0.8411934692
,,,
model to model,0,0.464404242,0.48100952
model to model,0,0.8290521552,0.8371965517
model to model,0,0.8394894888,0.8416638566
,,,
model to model,0,0.4644424732,0.4811159108
model to model,0,0.8291849138,0.8373081897
model to model,0,0.8389260484,0.8410129122
