From to Version,ROIC,MSOC,FIMDC
model to model,0,0.0824748103,0.0846031887
model to model,0,0.9898336522,0.9912372232
model to model,0.0053952874,0.9920735332,0.9920735332
model to model,0.6090106007,0.9851173564,0.9851173564
model to model,0,0.9701917902,0.9790867949
model to model,0,0.5635199837,0.5664979978
model to model,0,0.4304058482,0.435384549
model to model,0,0.7710473941,0.7730521634
model to model,0,0.9395645724,0.9407868322
,,,
model to model,0,0.0824748103,0.0846031887
model to model,0,0.9898336522,0.9912372232
model to model,0.0053952874,0.9920735332,0.9920735332
model to model,0.6090106007,0.9851173564,0.9851173564
model to model,0,0.9701917902,0.9790867949
model to model,0,0.5635199837,0.5664979978
model to model,0,0.4304058482,0.435384549
model to model,0,0.7710473941,0.7730521634
model to model,0,0.9395645724,0.9407868322
,,,
model to model,0,0.0824748103,0.0846031887
model to model,0,0.9898336522,0.9912372232
model to model,0.0053952874,0.9920735332,0.9920735332
model to model,0.6090106007,0.9851173564,0.9851173564
model to model,0,0.9701917902,0.9790867949
model to model,0,0.5635199837,0.5664979978
model to model,0,0.4304058482,0.435384549
model to model,0,0.7710473941,0.7730521634
model to model,0,0.9395645724,0.9407868322
,,,
model to model,0,0.0824748103,0.0846031887
model to model,0,0.9898336522,0.9912372232
model to model,0.0053952874,0.9920735332,0.9920735332
model to model,0.6090106007,0.9851173564,0.9851173564
model to model,0,0.9701917902,0.9790867949
model to model,0,0.5635199837,0.5664979978
model to model,0,0.4304058482,0.435384549
model to model,0,0.7710473941,0.7730521634
model to model,0,0.9395645724,0.9407868322
,,,
model to model,0,0.0824748103,0.0846031887
model to model,0,0.9898336522,0.9912372232
model to model,0.0053952874,0.9920735332,0.9920735332
model to model,0.6090106007,0.9851173564,0.9851173564
model to model,0,0.9701917902,0.9790867949
model to model,0,0.5635199837,0.5664979978
model to model,0,0.4304058482,0.435384549
model to model,0,0.7710473941,0.7730521634
model to model,0,0.9395645724,0.9407868322
