From to Version,ROIC,MSOC,FIMDC
model to model,0,0.1190249487,0.1220968546
model to model,0,0.9885860722,0.989986183
model to model,0.0070989115,0.9917502559,0.9917502559
model to model,0.5047125353,0.9956944969,0.9956944969
model to model,0,0.9658223194,0.9746893537
model to model,0,0.8561502374,0.8607114251
model to model,0,0.9000997496,0.9101678121
model to model,0,0.7940790782,0.7961346394
model to model,0,0.9817192719,0.9829971731
,,,
model to model,0,0.1190249487,0.1220968546
model to model,0,0.9885860722,0.989986183
model to model,0.0070989115,0.9917502559,0.9917502559
model to model,0.5047125353,0.9956944969,0.9956944969
model to model,0,0.9658223194,0.9746893537
model to model,0,0.8561502374,0.8607114251
model to model,0,0.9000997496,0.9101678121
model to model,0,0.7940790782,0.7961346394
model to model,0,0.9817192719,0.9829971731
,,,
model to model,0,0.1190249487,0.1220968546
model to model,0,0.9885860722,0.989986183
model to model,0.0070989115,0.9917502559,0.9917502559
model to model,0.5047125353,0.9956944969,0.9956944969
model to model,0,0.9658223194,0.9746893537
model to model,0,0.8561502374,0.8607114251
model to model,0,0.9000997496,0.9101678121
model to model,0,0.7940790782,0.7961346394
model to model,0,0.9817192719,0.9829971731
,,,
model to model,0,0.1190249487,0.1220968546
model to model,0,0.9885860722,0.989986183
model to model,0.0070989115,0.9917502559,0.9917502559
model to model,0.5047125353,0.9956944969,0.9956944969
model to model,0,0.9658223194,0.9746893537
model to model,0,0.8561502374,0.8607114251
model to model,0,0.9000997496,0.9101678121
model to model,0,0.7940790782,0.7961346394
model to model,0,0.9817192719,0.9829971731
,,,
model to model,0,0.1190249487,0.1220968546
model to model,0,0.9885860722,0.989986183
model to model,0.0070989115,0.9917502559,0.9917502559
model to model,0.5047125353,0.9956944969,0.9956944969
model to model,0,0.9658223194,0.9746893537
model to model,0,0.8561502374,0.8607114251
model to model,0,0.9000997496,0.9101678121
model to model,0,0.7940790782,0.7961346394
model to model,0,0.9817192719,0.9829971731
