From to Version,ROIC,MSOC,FIMDC
model to model,0,0.0079508169,0.0081639211
model to model,0,0.0021737373,0.0021768125
model to model,0.0070933165,0.9913627656,0.9913627656
model to model,0.4876514445,0.9971717911,0.9971717911
model to model,0,0.9682196496,0.9771088861
model to model,0,0.8552921096,0.8598484551
model to model,0,0.8995923503,0.9096571161
model to model,0,0.7940591481,0.796114221
model to model,0,0.9755129023,0.9767827898
,,,
model to model,0,0.0079508169,0.0081639211
model to model,0,0.0021737373,0.0021768125
model to model,0.0070933165,0.9913627656,0.9913627656
model to model,0.4876514445,0.9971717911,0.9971717911
model to model,0,0.9682196496,0.9771088861
model to model,0,0.8552921096,0.8598484551
model to model,0,0.8995923503,0.9096571161
model to model,0,0.7940591481,0.796114221
model to model,0,0.9755129023,0.9767827898
,,,
model to model,0,0.0079508169,0.0081639211
model to model,0,0.0021737373,0.0021768125
model to model,0.0070933165,0.9913627656,0.9913627656
model to model,0.4876514445,0.9971717911,0.9971717911
model to model,0,0.9682196496,0.9771088861
model to model,0,0.8552921096,0.8598484551
model to model,0,0.8995923503,0.9096571161
model to model,0,0.7940591481,0.796114221
model to model,0,0.9755129023,0.9767827898
,,,
model to model,0,0.0079508169,0.0081639211
model to model,0,0.0021737373,0.0021768125
model to model,0.0070933165,0.9913627656,0.9913627656
model to model,0.4876514445,0.9971717911,0.9971717911
model to model,0,0.9682196496,0.9771088861
model to model,0,0.8552921096,0.8598484551
model to model,0,0.8995923503,0.9096571161
model to model,0,0.7940591481,0.796114221
model to model,0,0.9755129023,0.9767827898
,,,
model to model,0,0.0079508169,0.0081639211
model to model,0,0.0021737373,0.0021768125
model to model,0.0070933165,0.9913627656,0.9913627656
model to model,0.4876514445,0.9971717911,0.9971717911
model to model,0,0.9682196496,0.9771088861
model to model,0,0.8552921096,0.8598484551
model to model,0,0.8995923503,0.9096571161
model to model,0,0.7940591481,0.796114221
model to model,0,0.9755129023,0.9767827898
