From to Version,ROIC,MSOC,FIMDC
model to model,0,0.0824748103,0.0846031887
model to model,0,0.9898336522,0.9912372232
model to model,0.0042979943,0.9875250884,0.9875250884
model to model,0.3800637233,0.9941611709,0.9941611709
model to model,0,0.9691238095,0.978009768
model to model,0,0.5915853866,0.5947134266
model to model,0,0.4626605176,0.4680110038
model to model,0,0.7710473941,0.7730521634
model to model,0,0.9395645724,0.9407868322
,,,
model to model,0,0.0824748103,0.0846031887
model to model,0,0.9898336522,0.9912372232
model to model,0.0042979943,0.9875250884,0.9875250884
model to model,0.3800637233,0.9941611709,0.9941611709
model to model,0,0.9691238095,0.978009768
model to model,0,0.5915853866,0.5947134266
model to model,0,0.4626605176,0.4680110038
model to model,0,0.7710473941,0.7730521634
model to model,0,0.9395645724,0.9407868322
,,,
model to model,0,0.0824748103,0.0846031887
model to model,0,0.9898336522,0.9912372232
model to model,0.0042979943,0.9875250884,0.9875250884
model to model,0.3800637233,0.9941611709,0.9941611709
model to model,0,0.9691238095,0.978009768
model to model,0,0.5915853866,0.5947134266
model to model,0,0.4626605176,0.4680110038
model to model,0,0.7710473941,0.7730521634
model to model,0,0.9395645724,0.9407868322
,,,
model to model,0,0.0824748103,0.0846031887
model to model,0,0.9898336522,0.9912372232
model to model,0.0042979943,0.9875250884,0.9875250884
model to model,0.3800637233,0.9941611709,0.9941611709
model to model,0,0.9691238095,0.978009768
model to model,0,0.5915853866,0.5947134266
model to model,0,0.4626605176,0.4680110038
model to model,0,0.7710473941,0.7730521634
model to model,0,0.9395645724,0.9407868322
,,,
model to model,0,0.0824748103,0.0846031887
model to model,0,0.9898336522,0.9912372232
model to model,0.0042979943,0.9875250884,0.9875250884
model to model,0.3800637233,0.9941611709,0.9941611709
model to model,0,0.9691238095,0.978009768
model to model,0,0.5915853866,0.5947134266
model to model,0,0.4626605176,0.4680110038
model to model,0,0.7710473941,0.7730521634
model to model,0,0.9395645724,0.9407868322
