From to Version,ROIC,MSOC,FIMDC
model to model,0,0.1185369786,0.1215984098
model to model,0,0.980481163,0.981881278
model to model,0.0331500647,0.9833728222,0.9833728222
model to model,0.0862538278,0.988570913,0.988570913
model to model,0,0.9641513698,0.9731296065
model to model,0,0.8397055515,0.844261897
model to model,0,0.8945873542,0.9027815124
model to model,0,0.787896219,0.7900434424
model to model,0,0.9656921915,0.9669715025
,,,
model to model,0,0.0824232456,0.084551624
model to model,0,0.983531126,0.984934697
model to model,0.0284392281,0.9809496108,0.9809496108
model to model,0.1002782146,0.9890194246,0.9890194246
model to model,0,0.965113015,0.9740761082
model to model,0,0.5614566029,0.5644874608
model to model,0,0.4384649962,0.4424813781
model to model,0,0.7671684587,0.7692483695
model to model,0,0.9331435201,0.9343762998
,,,
model to model,0,0.0824350996,0.084563478
model to model,0,0.6047375326,0.6056009187
model to model,0.0276710223,0.7555657192,0.7555657192
model to model,0.1040174778,0.9888053119,0.9888053119
model to model,0,0.966179213,0.9751337629
model to model,0,0.5614391248,0.5644699827
model to model,0,0.4384191166,0.4424400284
model to model,0,0.7675952549,0.7696781476
model to model,0,0.9336504247,0.9349015169
,,,
model to model,0,0.1367034308,0.1402365234
model to model,0,0.5948241473,0.5956696757
model to model,0.0297175141,0.9814010187,0.9814010187
model to model,0.0978877489,0.9889932688,0.9889932688
model to model,0,0.9656783343,0.9746421597
model to model,0,0.5615544799,0.5645853378
model to model,0,0.4383615057,0.4423918258
model to model,0,0.7670760226,0.7691565298
model to model,0,0.9340322592,0.9352702988
,,,
model to model,0,0.082431247,0.0845596254
model to model,0,0.9841307217,0.9855342927
model to model,0.0292523153,0.9812813757,0.9812813757
model to model,0.1021446747,0.9887009928,0.9887009928
model to model,0,0.9656180434,0.9745782074
model to model,0,0.5615233523,0.5645542102
model to model,0,0.4380242035,0.442041747
model to model,0,0.7672181555,0.7693000542
model to model,0,0.9335048991,0.9347343669
