From to Version,ROIC,MSOC,FIMDC
model to model,0.0714285714,0.765625,0.765625
model to model,0.2857142857,0.7111111111,0.7111111111
model to model,0.1111111111,0.83,0.83
model to model,0,0.4833333333,0.4833333333
model to model,0.1333333333,0.7878787879,0.7878787879
model to model,0.0625,0.6083333333,0.6083333333
model to model,0.1764705882,0.630952381,0.630952381
model to model,0.0833333333,0.7723214286,0.7723214286
,,,
model to model,0.0714285714,0.765625,0.765625
model to model,0.2857142857,0.7111111111,0.7111111111
model to model,0.1111111111,0.83,0.83
model to model,0,0.4833333333,0.4833333333
model to model,0.1333333333,0.7878787879,0.7878787879
model to model,0.0625,0.6083333333,0.6083333333
model to model,0.1764705882,0.630952381,0.630952381
model to model,0.0833333333,0.7723214286,0.7723214286
,,,
model to model,0.0714285714,0.765625,0.765625
model to model,0.2857142857,0.7111111111,0.7111111111
model to model,0.1111111111,0.83,0.83
model to model,0,0.4833333333,0.4833333333
model to model,0.1333333333,0.7878787879,0.7878787879
model to model,0.0625,0.6083333333,0.6083333333
model to model,0.1764705882,0.630952381,0.630952381
model to model,0.0833333333,0.7723214286,0.7723214286
,,,
model to model,0.0714285714,0.765625,0.765625
model to model,0.2857142857,0.7111111111,0.7111111111
model to model,0.1111111111,0.83,0.83
model to model,0,0.4833333333,0.4833333333
model to model,0.1333333333,0.7878787879,0.7878787879
model to model,0.0625,0.6083333333,0.6083333333
model to model,0.1764705882,0.630952381,0.630952381
model to model,0.0833333333,0.7723214286,0.7723214286
,,,
model to model,0.0714285714,0.765625,0.765625
model to model,0.2857142857,0.7111111111,0.7111111111
model to model,0.1111111111,0.83,0.83
model to model,0,0.4833333333,0.4833333333
model to model,0.1333333333,0.7878787879,0.7878787879
model to model,0.0625,0.6083333333,0.6083333333
model to model,0.1764705882,0.630952381,0.630952381
model to model,0.0833333333,0.7723214286,0.7723214286
