From to Version,ROIC,MSOC,FIMDC
model to model,0.0666666667,0.6805555556,0.6805555556
model to model,0.5384615385,0.7777777778,0.7777777778
model to model,0.5714285714,0.9727272727,0.9727272727
model to model,0.0555555556,0.4357142857,0.4357142857
model to model,0.2307692308,0.875,0.875
model to model,0.0666666667,0.875,0.875
model to model,0.1666666667,0.5769230769,0.5769230769
model to model,0.08,0.8392857143,0.8392857143
,,,
model to model,0.0666666667,0.6805555556,0.6805555556
model to model,0.5384615385,0.7777777778,0.7777777778
model to model,0.5714285714,0.9727272727,0.9727272727
model to model,0.0555555556,0.4357142857,0.4357142857
model to model,0.2307692308,0.875,0.875
model to model,0.0666666667,0.875,0.875
model to model,0.1666666667,0.5769230769,0.5769230769
model to model,0.08,0.8392857143,0.8392857143
,,,
model to model,0.0666666667,0.6805555556,0.6805555556
model to model,0.5384615385,0.7777777778,0.7777777778
model to model,0.5714285714,0.9727272727,0.9727272727
model to model,0.0555555556,0.4357142857,0.4357142857
model to model,0.2307692308,0.875,0.875
model to model,0.0666666667,0.875,0.875
model to model,0.1666666667,0.5769230769,0.5769230769
model to model,0.08,0.8392857143,0.8392857143
,,,
model to model,0.0666666667,0.6805555556,0.6805555556
model to model,0.5384615385,0.7777777778,0.7777777778
model to model,0.5714285714,0.9727272727,0.9727272727
model to model,0.0555555556,0.4357142857,0.4357142857
model to model,0.2307692308,0.875,0.875
model to model,0.0666666667,0.875,0.875
model to model,0.1666666667,0.5769230769,0.5769230769
model to model,0.08,0.8392857143,0.8392857143
,,,
model to model,0.0666666667,0.6805555556,0.6805555556
model to model,0.5384615385,0.7777777778,0.7777777778
model to model,0.5714285714,0.9727272727,0.9727272727
model to model,0.0555555556,0.4357142857,0.4357142857
model to model,0.2307692308,0.875,0.875
model to model,0.0666666667,0.875,0.875
model to model,0.1666666667,0.5769230769,0.5769230769
model to model,0.08,0.8392857143,0.8392857143
