From to Version,ROIC,MSOC,FIMDC
model to model,0.1666666667,0.625,0.625
model to model,0.2142857143,0.7407407407,0.7407407407
model to model,0.125,0.8333333333,0.8333333333
model to model,0.2307692308,0.5727272727,0.5727272727
model to model,0.1428571429,0.7272727273,0.7272727273
model to model,0.3846153846,0.9444444444,0.9444444444
model to model,0.1176470588,0.8,0.8
model to model,0,0.6205357143,0.6205357143
,,,
model to model,0.1666666667,0.625,0.625
model to model,0.2142857143,0.7407407407,0.7407407407
model to model,0.125,0.8333333333,0.8333333333
model to model,0.2307692308,0.5727272727,0.5727272727
model to model,0.1428571429,0.7272727273,0.7272727273
model to model,0.3846153846,0.9444444444,0.9444444444
model to model,0.1176470588,0.8,0.8
model to model,0,0.6205357143,0.6205357143
,,,
model to model,0.1666666667,0.625,0.625
model to model,0.2142857143,0.7407407407,0.7407407407
model to model,0.125,0.8333333333,0.8333333333
model to model,0.2307692308,0.5727272727,0.5727272727
model to model,0.1428571429,0.7272727273,0.7272727273
model to model,0.3846153846,0.9444444444,0.9444444444
model to model,0.1176470588,0.8,0.8
model to model,0,0.6205357143,0.6205357143
,,,
model to model,0.1666666667,0.625,0.625
model to model,0.2142857143,0.7407407407,0.7407407407
model to model,0.125,0.8333333333,0.8333333333
model to model,0.2307692308,0.5727272727,0.5727272727
model to model,0.1428571429,0.7272727273,0.7272727273
model to model,0.3846153846,0.9444444444,0.9444444444
model to model,0.1176470588,0.8,0.8
model to model,0,0.6205357143,0.6205357143
,,,
model to model,0.1666666667,0.625,0.625
model to model,0.2142857143,0.7407407407,0.7407407407
model to model,0.125,0.8333333333,0.8333333333
model to model,0.2307692308,0.5727272727,0.5727272727
model to model,0.1428571429,0.7272727273,0.7272727273
model to model,0.3846153846,0.9444444444,0.9444444444
model to model,0.1176470588,0.8,0.8
model to model,0,0.6205357143,0.6205357143
