From to Version,ROIC,MSOC,FIMDC
model to model,0.5454545455,0.5454545455,0.5454545455
model to model,0.7857142857,0.7857142857,0.7857142857
model to model,0.6666666667,0.6666666667,0.6666666667
model to model,0.56,0.6791666667,0.6791666667
model to model,0.72,0.72,0.72
model to model,0.4210526316,0.4449404762,0.4449404762
model to model,0.8235294118,0.8235294118,0.8235294118
model to model,0.7272727273,0.8776408451,0.8776408451
,,,
model to model,0.5454545455,0.5454545455,0.5454545455
model to model,0.7857142857,0.7857142857,0.7857142857
model to model,0.6666666667,0.6666666667,0.6666666667
model to model,0.56,0.6791666667,0.6791666667
model to model,0.72,0.72,0.72
model to model,0.4210526316,0.4449404762,0.4449404762
model to model,0.8235294118,0.8235294118,0.8235294118
model to model,0.7272727273,0.8776408451,0.8776408451
,,,
model to model,0.5454545455,0.5454545455,0.5454545455
model to model,0.7857142857,0.7857142857,0.7857142857
model to model,0.6666666667,0.6666666667,0.6666666667
model to model,0.56,0.6791666667,0.6791666667
model to model,0.72,0.72,0.72
model to model,0.4210526316,0.4449404762,0.4449404762
model to model,0.8235294118,0.8235294118,0.8235294118
model to model,0.7272727273,0.8776408451,0.8776408451
,,,
model to model,0.5454545455,0.5454545455,0.5454545455
model to model,0.7857142857,0.7857142857,0.7857142857
model to model,0.6666666667,0.6666666667,0.6666666667
model to model,0.56,0.6791666667,0.6791666667
model to model,0.72,0.72,0.72
model to model,0.4210526316,0.4449404762,0.4449404762
model to model,0.8235294118,0.8235294118,0.8235294118
model to model,0.7272727273,0.8776408451,0.8776408451
,,,
model to model,0.5454545455,0.5454545455,0.5454545455
model to model,0.7857142857,0.7857142857,0.7857142857
model to model,0.6666666667,0.6666666667,0.6666666667
model to model,0.56,0.6791666667,0.6791666667
model to model,0.72,0.72,0.72
model to model,0.4210526316,0.4449404762,0.4449404762
model to model,0.8235294118,0.8235294118,0.8235294118
model to model,0.7272727273,0.8776408451,0.8776408451
