From to Version,ROIC,MSOC,FIMDC
model to model,0.0769230769,0.609375,0.609375
model to model,0.1333333333,0.7160493827,0.7160493827
model to model,0.0588235294,0.6555555556,0.6555555556
model to model,0.0666666667,0.4727272727,0.4727272727
model to model,0,0.5454545455,0.5454545455
model to model,0.1111111111,0.75,0.75
model to model,0.05,0.7597402597,0.7597402597
model to model,0.0833333333,0.625,0.625
,,,
model to model,0,0.59375,0.59375
model to model,0.2142857143,0.7654320988,0.7654320988
model to model,0.0588235294,0.8111111111,0.8111111111
model to model,0.0666666667,0.4454545455,0.4454545455
model to model,0.1333333333,0.6,0.6
model to model,0.0555555556,0.6666666667,0.6666666667
model to model,0.1111111111,0.6623376623,0.6623376623
model to model,0.0416666667,0.6205357143,0.6205357143
,,,
model to model,0.2727272727,0.65625,0.65625
model to model,0.1333333333,0.6790123457,0.6790123457
model to model,0.2,0.7888888889,0.7888888889
model to model,0.1333333333,0.62,0.62
model to model,0.2142857143,0.7070707071,0.7070707071
model to model,0.0555555556,0.6833333333,0.6833333333
model to model,0.05,0.6623376623,0.6623376623
model to model,0.0833333333,0.65,0.65
,,,
model to model,0.0769230769,0.59375,0.59375
model to model,0.0625,0.6913580247,0.6913580247
model to model,0.125,0.7444444444,0.7444444444
model to model,0.3076923077,0.6,0.6
model to model,0.0625,0.6666666667,0.6666666667
model to model,0.1176470588,0.7083333333,0.7083333333
model to model,0.1052631579,0.6363636364,0.6363636364
model to model,0,0.6116071429,0.6116071429
,,,
model to model,0.1666666667,0.625,0.625
model to model,0.3076923077,0.8024691358,0.8024691358
model to model,0,0.7444444444,0.7444444444
model to model,0.0625,0.61,0.61
model to model,0.0588235294,0.6181818182,0.6181818182
model to model,0.0526315789,0.7916666667,0.7916666667
model to model,0.1666666667,0.7532467532,0.7532467532
model to model,0.1304347826,0.6125,0.6125
