From to Version,ROIC,MSOC,FIMDC
model to model,0,0.6587186399,0.6599281222
model to model,0,0.7019309625,0.7020987102
model to model,0,0.644165671,0.644165671
model to model,0,0.6715120664,0.6726055807
model to model,0.0094339623,0.6899406122,0.6908908177
model to model,0.0099009901,0.5359495272,0.536335169
model to model,0.0105263158,0.6994396543,0.6994396543
model to model,0,0.732836693,0.732836693
model to model,0,0.7072872138,0.7072872138
,,,
,,,
model to model,0,0.6587186399,0.6599281222
model to model,0,0.7019309625,0.7020987102
model to model,0,0.644165671,0.644165671
model to model,0,0.6715120664,0.6726055807
model to model,0.0094339623,0.6899406122,0.6908908177
model to model,0.0099009901,0.5359495272,0.536335169
model to model,0.0105263158,0.6994396543,0.6994396543
model to model,0,0.732836693,0.732836693
model to model,0,0.7072872138,0.7072872138
,,,
,,,
model to model,0,0.6587186399,0.6599281222
model to model,0,0.7019309625,0.7020987102
model to model,0,0.644165671,0.644165671
model to model,0,0.6715120664,0.6726055807
model to model,0.0094339623,0.6899406122,0.6908908177
model to model,0.0099009901,0.5359495272,0.536335169
model to model,0.0105263158,0.6994396543,0.6994396543
model to model,0,0.732836693,0.732836693
model to model,0,0.7072872138,0.7072872138
,,,
,,,
model to model,0,0.6587186399,0.6599281222
model to model,0,0.7019309625,0.7020987102
model to model,0,0.644165671,0.644165671
model to model,0,0.6715120664,0.6726055807
model to model,0.0094339623,0.6899406122,0.6908908177
model to model,0.0099009901,0.5359495272,0.536335169
model to model,0.0105263158,0.6994396543,0.6994396543
model to model,0,0.732836693,0.732836693
model to model,0,0.7072872138,0.7072872138
,,,
,,,
model to model,0,0.6587186399,0.6599281222
model to model,0,0.7019309625,0.7020987102
model to model,0,0.644165671,0.644165671
model to model,0,0.6715120664,0.6726055807
model to model,0.0094339623,0.6899406122,0.6908908177
model to model,0.0099009901,0.5359495272,0.536335169
model to model,0.0105263158,0.6994396543,0.6994396543
model to model,0,0.732836693,0.732836693
model to model,0,0.7072872138,0.7072872138
