From to Version,ROIC,MSOC,FIMDC
model to model,0,0.6585914086,0.6597735598
model to model,0,0.6865311495,0.6867322316
model to model,0,0.7107301301,0.7107301301
model to model,0,0.6977305737,0.6988743646
model to model,0.0095238095,0.6741026561,0.6750358938
model to model,0.0101010101,0.6155941969,0.6168436762
model to model,0.0105263158,0.7121960486,0.7121960486
model to model,0,0.6966462168,0.6966462168
model to model,0,0.7015674233,0.7015674233
,,,
model to model,0,0.6585914086,0.6597735598
model to model,0,0.6865311495,0.6867322316
model to model,0,0.7107301301,0.7107301301
model to model,0,0.6977305737,0.6988743646
model to model,0.0095238095,0.6741026561,0.6750358938
model to model,0.0101010101,0.6155941969,0.6168436762
model to model,0.0105263158,0.7121960486,0.7121960486
model to model,0,0.6966462168,0.6966462168
model to model,0,0.7015674233,0.7015674233
,,,
model to model,0,0.6585914086,0.6597735598
model to model,0,0.6865311495,0.6867322316
model to model,0,0.7107301301,0.7107301301
model to model,0,0.6977305737,0.6988743646
model to model,0.0095238095,0.6741026561,0.6750358938
model to model,0.0101010101,0.6155941969,0.6168436762
model to model,0.0105263158,0.7121960486,0.7121960486
model to model,0,0.6966462168,0.6966462168
model to model,0,0.7015674233,0.7015674233
,,,
model to model,0,0.6585914086,0.6597735598
model to model,0,0.6865311495,0.6867322316
model to model,0,0.7107301301,0.7107301301
model to model,0,0.6977305737,0.6988743646
model to model,0.0095238095,0.6741026561,0.6750358938
model to model,0.0101010101,0.6155941969,0.6168436762
model to model,0.0105263158,0.7121960486,0.7121960486
model to model,0,0.6966462168,0.6966462168
model to model,0,0.7015674233,0.7015674233
,,,
model to model,0,0.6585914086,0.6597735598
model to model,0,0.6865311495,0.6867322316
model to model,0,0.7107301301,0.7107301301
model to model,0,0.6977305737,0.6988743646
model to model,0.0095238095,0.6741026561,0.6750358938
model to model,0.0101010101,0.6155941969,0.6168436762
model to model,0.0105263158,0.7121960486,0.7121960486
model to model,0,0.6966462168,0.6966462168
model to model,0,0.7015674233,0.7015674233
