From to Version,ROIC,MSOC,FIMDC
model to model,0,0.4657497492,0.4662659527
model to model,0,0.5907867798,0.590835527
model to model,0,0.6383914644,0.6383914644
model to model,0,0.5627321981,0.5634115927
model to model,0.0074906367,0.5827135678,0.5834084709
model to model,0.0071942446,0.673603853,0.6736405254
model to model,0,0.8270958037,0.8270958037
model to model,0,0.7426272737,0.7426272737
model to model,0,0.4979253112,0.4979253112
,,,
model to model,0,0.4657497492,0.4662659527
model to model,0,0.5907867798,0.590835527
model to model,0,0.6383914644,0.6383914644
model to model,0,0.5627321981,0.5634115927
model to model,0.0074906367,0.5827135678,0.5834084709
model to model,0.0071942446,0.673603853,0.6736405254
model to model,0,0.8270958037,0.8270958037
model to model,0,0.7426272737,0.7426272737
model to model,0,0.4979253112,0.4979253112
,,,
model to model,0,0.4657497492,0.4662659527
model to model,0,0.5907867798,0.590835527
model to model,0,0.6383914644,0.6383914644
model to model,0,0.5627321981,0.5634115927
model to model,0.0074906367,0.5827135678,0.5834084709
model to model,0.0071942446,0.673603853,0.6736405254
model to model,0,0.8270958037,0.8270958037
model to model,0,0.7426272737,0.7426272737
model to model,0,0.4979253112,0.4979253112
,,,
model to model,0,0.4657497492,0.4662659527
model to model,0,0.5907867798,0.590835527
model to model,0,0.6383914644,0.6383914644
model to model,0,0.5627321981,0.5634115927
model to model,0.0074906367,0.5827135678,0.5834084709
model to model,0.0071942446,0.673603853,0.6736405254
model to model,0,0.8270958037,0.8270958037
model to model,0,0.7426272737,0.7426272737
model to model,0,0.4979253112,0.4979253112
,,,
model to model,0,0.4657497492,0.4662659527
model to model,0,0.5907867798,0.590835527
model to model,0,0.6383914644,0.6383914644
model to model,0,0.5627321981,0.5634115927
model to model,0.0074906367,0.5827135678,0.5834084709
model to model,0.0071942446,0.673603853,0.6736405254
model to model,0,0.8270958037,0.8270958037
model to model,0,0.7426272737,0.7426272737
model to model,0,0.4979253112,0.4979253112
