From to Version,ROIC,MSOC,FIMDC
model to model,0,0.3138517533,0.314758755
model to model,0,0.4158915862,0.4161011992
model to model,0,0.4359518313,0.4359518313
model to model,0,0.3994066047,0.4002751978
model to model,0,0.4285714286,0.4292663317
model to model,0,0.4719181473,0.4724560085
model to model,0,0.5835804104,0.5835804104
model to model,0,0.5095361102,0.5095361102
model to model,0,0.3543534488,0.3543534488
,,,
model to model,0,0.3139188306,0.3148783276
model to model,0,0.4156137272,0.4158379643
model to model,0,0.43667457,0.43667457
model to model,0,0.4000386997,0.4009330925
model to model,0,0.4305010768,0.4311959799
model to model,0,0.4720770608,0.4727493873
model to model,0,0.5855259478,0.5855259478
model to model,0,0.5073027661,0.5073027661
model to model,0,0.3547144489,0.3547144489
,,,
model to model,0,0.3130147453,0.3139275799
model to model,0,0.4168470313,0.4172370089
model to model,0,0.4369553462,0.4369553462
model to model,0,0.3994883041,0.4003955968
model to model,0,0.4293467337,0.4300416368
model to model,0,0.4710196747,0.4721015091
model to model,0,0.5853954165,0.5853954165
model to model,0,0.5085028522,0.5085028522
model to model,0,0.3551306608,0.3551306608
,,,
model to model,0,0.3129389188,0.3139159142
model to model,0,0.4162669397,0.4163254363
model to model,0,0.4357490485,0.4357490485
model to model,0,0.3993851049,0.4002278982
model to model,0,0.4299095477,0.4306044508
model to model,0,0.4710807953,0.471471967
model to model,0,0.5850038227,0.5850038227
model to model,0,0.5088849424,0.5088849424
model to model,0,0.3554534374,0.3554534374
,,,
model to model,0,0.3138196729,0.3147383402
model to model,0,0.4167787852,0.4168665302
model to model,0,0.4366589713,0.4366589713
model to model,0,0.3987659099,0.3996173031
model to model,0,0.4291916726,0.4298865757
model to model,0,0.4714169585,0.4717347856
model to model,0,0.5855383793,0.5855383793
model to model,0,0.5108922613,0.5108922613
model to model,0,0.357271179,0.357271179
